message,label
The weather looks great this weekend. Want to go hiking?,ham
Your Amazon subscription is expiring. Renew now to avoid losing access: http://tinyurl.com/abc456,spam
Could you pick up some groceries on your way home? We need milk and bread. Looking forward to hearing from you.,ham
ACTION REQUIRED! Get a free vacation to the Bahamas! Just complete a short survey to qualify.,spam
Let's brainstorm ideas for the hackathon. I'm thinking something with AI. Let me know your thoughts when you get a chance.,ham
The yoga class starts at 7 AM. Want to join me tomorrow? Hope your week is going well!,ham
You qualify for a government grant of $1000. No repayment required!,spam
The AC in the conference room is broken again. I've filed a maintenance request.,ham
Adult content: Explicit material waiting for you. Click to view now.,spam
I'll be working from home tomorrow. You can reach me on Slack or email. Cheers!,ham
URGENT: Your account has been compromised. Verify your identity immediately at http://secure-verify.com/login,spam
The neighbors are having a party this Saturday. We're invited!,ham
I loved the photos from your trip! Japan looks absolutely beautiful. PS: Don't forget to submit your timesheet.,ham
URGENT! Lose weight fast without diet or exercise! Try this one weird trick.,spam
You are one step away from financial freedom! Learn our secret trading strategy.,spam
"CLAIM YOUR PRIZE! Dear customer, your Bank of America card ending in 4532 has unusual activity. Call us now.",spam
Shocking news: Celebrity reveals weight loss secret. Doctors hate this trick!,spam
Double your bitcoin investment in 24 hours! Guaranteed returns. Invest now!,spam
Just finished the sprint retrospective notes. Sharing with the team now. Let me know your thoughts when you get a chance.,ham
I'm thinking of getting a new laptop. Any suggestions?,ham
Get rich quick! Follow our simple 3-step system to make $50000 weekly.,spam
Just saw the news about the company merger. What do you think about it? Have a great evening!,ham
"Don't forget about the team meeting at 3 PM. We'll discuss Q4 targets. By the way, the coffee machine is fixed.",ham
The gym is offering a discount for annual memberships. Interested? Looking forward to hearing from you.,ham
"Hey, are you available for lunch tomorrow? I was thinking we could try that new restaurant.",ham
WINNER! Earn extra cash by completing simple surveys. Sign up now and get a $100 bonus!,spam
Just finished the sprint retrospective notes. Sharing with the team now.,ham
CLAIM YOUR PRIZE! Buy cheap medications online! Up to 80% off. Fast discreet shipping.,spam
Reduce your mortgage payments by 50%! Call now for a free consultation.,spam
Your Apple account has been locked. Click here to unlock: http://update-now.net/confirm,spam
FINAL NOTICE: Your domain name will be deleted unless you renew immediately.,spam
ACT NOW! URGENT: Wire transfer of $100 received in your name. Confirm identity to release funds.,spam
SECURITY UPDATE! Adult content: Explicit material waiting for you. Click to view now.,spam
WINNER! You have been selected for a special offer! Get brain supplement for FREE. Limited time only!,spam
Please find attached the invoice for last month's services. Have a great evening!,ham
Lose weight fast without diet or exercise! Try this one weird trick.,spam
